"카테고리","No","제품 ID","제품명","설명","데이터시트 URL"
"Cables","253","YLUX037ULAM","YLUX037ULAM","DC~6GHz fakra female Code D to SMA female cable",""
"Cables","254","YLUX038LLAM","YLUX038LLAM","DC~6GHz fakra female Code D to SMA female cable",""
"Cables","255","YLUX039NLAM","YLUX039NLAM","DC~6GHz fakra female Code D to SMA female cable Cables & Connectors  |  Cables 98",""
"Cables","256","YLUX040QLAM","YLUX040QLAM","DC~6GHz fakra female Code D to SMA female cable",""
"Cables","257","YSAN025AA","YSAN025AA","DC~6GHz SMA female to IPEX MHF1 cable",""
"Cables","258","YSAN025BA","YSAN025BA","DC~6GHz SMA female to IPEX MHF1 cable Cables & Connectors  |  Cables 83",""
"Cables","259","YSAN025CA","YSAN025CA","DC~6GHz SMA female to IPEX MHF1 cable",""
"Cables","260","YSAN025DA","YSAN025DA","DC~6GHz SMA female to IPEX MHF1 cable",""
"Cables","261","YSAN025EA","YSAN025EA","DC~6GHz SMA female to IPEX MHF1 cable",""
"Cables","262","YSAN026AA","YSAN026AA","DC~6GHz RP SMA female to IPEX MHF1 cable",""
"Cables","263","YSAN026BA","YSAN026BA","DC~6GHz RP SMA female to IPEX MHF1 cable",""
"Cables","264","YSAN026CA","YSAN026CA","DC~6GHz RP SMA female to IPEX MHF1 cable Cables & Connectors  |  Cables",""
"Cables","265","YSAN026DA","YSAN026DA","DC~6GHz RP SMA female to IPEX MHF1 cable Cables & Connectors  |  Cables 84",""
"Cables","266","YSAN026EA","YSAN026EA","DC~6GHz RP SMA female to IPEX MHF1 cable",""
"Cables","267","YSAN027AA","YSAN027AA","DC~6GHz SMA female to IPEX MHF4L cable",""
"Cables","268","YSAN027BA","YSAN027BA","DC~6GHz SMA female to IPEX MHF4L cable",""
"Cables","269","YSAN027CA","YSAN027CA","DC~6GHz SMA female to IPEX MHF4L cable",""
"Cables","270","YSAN027DA","YSAN027DA","DC~6GHz SMA female to IPEX MHF4L cable",""
"Cables","271","YSAN027EA","YSAN027EA","DC~6GHz SMA female to IPEX MHF4L cable Cables & Connectors  |  Cables 85",""
"Cables","272","YSAN027FA","YSAN027FA","DC~6GHz SMA female to IPEX MHF4L cable",""
"Cables","273","YSAN027GA","YSAN027GA","DC~6GHz SMA female to IPEX MHF4L cable",""
"Cables","274","YSAN027HA","YSAN027HA","DC~6GHz SMA female to IPEX MHF4L cable",""
"Cables","275","YSAN027IA","YSAN027IA","DC~6GHz SMA female to IPEX MHF4L cable Cables & Connectors  |  Cables 86",""
"Cables","276","YSAN027JA","YSAN027JA","DC~6GHz SMA female to IPEX MHF4L cable",""
"Cables","277","YSAN028AA","YSAN028AA","DC~6GHz RP SMA female to IPEX MHF4L cable",""
"Cables","278","YSAN028BA","YSAN028BA","DC~6GHz RP SMA female to IPEX MHF4L cable",""
"Cables","279","YSAN028CA","YSAN028CA","DC~6GHz RP SMA female to IPEX MHF4L cable",""
"Cables","280","YSAN028DA","YSAN028DA","DC~6GHz RP SMA female to IPEX MHF4L cable",""
"Cables","281","YSAN028EA","YSAN028EA","DC~6GHz RP SMA female to IPEX MHF4L cable Cables & Connectors  |  Cables 87",""
"Cables","282","YSAN028FA","YSAN028FA","DC~6GHz RP SMA female to IPEX MHF4L cable",""
"Cables","283","YSAN028GA","YSAN028GA","DC~6GHz RP SMA female to IPEX MHF4L cable",""
"Cables","284","YSAN028HA","YSAN028HA","DC~6GHz RP SMA female to IPEX MHF4L cable",""
"Cables","285","YSAN028IA","YSAN028IA","DC~6GHz RP SMA female to IPEX MHF4L cable Cables & Connectors  |  Cables 88",""
"Cables","286","YSAN028JA","YSAN028JA","DC~6GHz RP SMA female to IPEX MHF4L cable",""
"Evaluation Boards","287","YC0001CAEVB","YC0001CAEVB","Evaluation Board for YC0001CA",""
"Evaluation Boards","288","YC0002AAEVB","YC0002AAEVB","Evaluation Board for YC0002AA",""
"Evaluation Boards","289","YC0002BAEVB","YC0002BAEVB","Evaluation Board for YC0002BA",""
"Evaluation Boards","290","YC0003BAEVB","YC0003BAEVB","Evaluation Board for YC0003BA",""
"Evaluation Boards","291","YC0009AAEVB","YC0009AAEVB","Evaluation Board for YC0009AA",""
"Evaluation Boards","292","YC0010AAEVB","YC0010AAEVB","Evaluation Board for YC0010AA",""
"Evaluation Boards","293","YC0013AAEVB","YC0013AAEVB","Evaluation Board for YC0013AA",""
"Evaluation Boards","294","YC0017DAEVB","YC0017DAEVB","Evaluation Board for YC0017DA",""
"Evaluation Boards","295","YC0017EAEVB","YC0017EAEVB","Evaluation Board for YC0017EA",""
"Evaluation Boards","296","YC0018CAEVB","YC0018CAEVB","Evaluation Board for YC0018CA",""
"Evaluation Boards","297","YCGS010AAEVB","YCGS010AAEVB","Evaluation Board for YCGS010AA",""
"Evaluation Boards","298","YCIS002AAEVB","YCIS002AAEVB","Evaluation Board for YCIS002AA",""
"Evaluation Boards","299","YCIS003AAEVB","YCIS003AAEVB","Evaluation Board for YCIS003AA",""
"Evaluation Boards","300","YFBC001WWAEVB","YFBC001WWAEVB","Evaluation Board for YFBC001WWA",""
"Evaluation Boards","301","YFBP001WWAEVB","YFBP001WWAEVB","Evaluation Board for YFBP001WWA",""
"Evaluation Boards","302","YFBP001WWBEVB","YFBP001WWBEVB","Evaluation Board for YFBP001WWB",""
"Evaluation Boards","303","YFBP001WWCEVB","YFBP001WWCEVB","Evaluation Board for YFBP001WWC",""
"Evaluation Boards","304","YFCH001WWAEVB","YFCH001WWAEVB","Evaluation Board for YFCH001WWA",""
"Evaluation Boards","305","YFCH002WWAEVB","YFCH002WWAEVB","Evaluation Board for YFCH002WWA",""
"Evaluation Boards","306","YFCP001WWAEVB","YFCP001WWAEVB","Evaluation Board for YFCP001WWA",""
"Evaluation Boards","307","YFCP002WWAEVB","YFCP002WWAEVB","Evaluation Board for YFCP002WWA",""
"Evaluation Boards","308","YFCP004WWAEVB","YFCP004WWAEVB","Evaluation Board for YFCP004WWA",""
"Evaluation Boards","309","YFCP005WWAEVB","YFCP005WWAEVB","Evaluation Board for YFCP005WWA",""
"Evaluation Boards","310","YFCP006WWAEVB","YFCP006WWAEVB","Evaluation Board for YFCP006WWA",""
"Evaluation Boards","311","YFCP017WWAEVB","YFCP017WWAEVB","Evaluation Board for YFCP017WWA",""
"Evaluation Boards","312","YFCP017WWBEVB","YFCP017WWBEVB","Evaluation Board for YFCP017WWB",""
"Evaluation Boards","313","YFCP018WWAEVB","YFCP018WWAEVB","Evaluation Board for YFCP018WWA",""
"Evaluation Boards","314","YFMP200WWAEVB","YFMP200WWAEVB","Evaluation Board for YFMP200WWA",""
"Evaluation Boards","315","YFNP001WWAEVB","YFNP001WWAEVB","Evaluation Board for YFNP001WWA",""
"Evaluation Boards","316","YFNP001WWBEVB","YFNP001WWBEVB","Evaluation Board for YFNP001WWB",""
"Evaluation Boards","317","YFNP017WWAEVB","YFNP017WWAEVB","Evaluation Board for YFNP017WWA",""
"Evaluation Boards","318","YMCP001AAEVBAA","YMCP001AAEVBAA","Evaluation Board for YMCP001AA",""
"Evaluation Boards","319","YMCP002AAEVB","YMCP002AAEVB","Evaluation Board for YMCP002AA",""
"Evaluation Boards","320","YMCP003AAEVBAA","YMCP003AAEVBAA","Evaluation Board for YMCP003AA",""
"Evaluation Boards","321","YPCP001AAEVB","YPCP001AAEVB","Evaluation Board for YPCP001AA",""
"Evaluation Boards","322","YPCP003AAEVB","YPCP003AAEVB","Evaluation Board for YPCP003AA",""
"Evaluation Boards","323","YPCP003BAEVB","YPCP003BAEVB","Evaluation Board for YPCP003BA",""
"Evaluation Boards","324","YPCS001AAEVB","YPCS001AAEVB","Evaluation Board for YPCS001AA",""
"Evaluation Boards","325","YPCS002AAEVB","YPCS002AAEVB","Evaluation Board for YPCS002AA",""
"Evaluation Boards","326","YPGS001AAEVB","YPGS001AAEVB","Evaluation Board for YPGS001AA",""
"Evaluation Boards","327","YSIS001AAEVBAA","YSIS001AAEVBAA","Evaluation Board for YSIS001AA",""
"Evaluation Boards","328","YXU00A0AAEVB","YXU00A0AAEVB","Evaluation Board for YXU00A0AA",""
