"카테고리","No","제품 ID","제품명","설명","데이터시트 URL"
"Embedded antennas","59","YFGA012E3BM","YFGA012E3BM","GNSS buckle mount ceramic patch + cable passive embedded antenna",""
"Embedded antennas","60","YFGA015E3AM","YFGA015E3AM","GNSS buckle mount ceramic patch + cable active embedded antenna",""
"Embedded antennas","61","YFGA015E3BM","YFGA015E3BM","GNSS buckle mount ceramic patch + cable passive embedded antenna",""
"Embedded antennas","62","YFGA018E3AM","YFGA018E3AM","GNSS buckle mount ceramic patch + cable active embedded antenna",""
"Embedded antennas","63","YFGA018E3BM","YFGA018E3BM","GNSS buckle mount ceramic patch + cable passive embedded antenna",""
"Embedded antennas","64","YFGA020E3BM","YFGA020E3BM","GNSS buckle mount ceramic patch + cable passive embedded antenna",""
"Embedded antennas","65","YFGA025E3AM","YFGA025E3AM","GNSS buckle mount ceramic patch + cable active embedded antenna",""
"Embedded antennas","66","YFGA025E3BM","YFGA025E3BM","GNSS buckle mount ceramic patch + cable passive embedded antenna",""
"Embedded antennas","67","YFGA025E3CM","YFGA025E3CM","GNSS buckle mount ceramic patch + cable active embedded antenna",""
"Embedded antennas","68","YFGA025E3DM","YFGA025E3DM","GNSS buckle mount ceramic patch + cable passive embedded antenna",""
"Embedded antennas","69","YFGA035E3BM","YFGA035E3BM","GNSS buckle mount ceramic patch + cable passive embedded antenna",""
"Embedded antennas","70","YFGA035E3DM","YFGA035E3DM","GNSS buckle mount ceramic patch + cable passive embedded antenna",""
"Embedded antennas","71","YFGA225E3AM","YFGA225E3AM","GNSS L1 & L5 screw mount ceramic patch + cable active embedded antenna",""
"Embedded antennas","72","YFGA225E3BM","YFGA225E3BM","GNSS L1 & L5 screw mount ceramic patch + cable passive embedded antenna",""
"Embedded antennas","73","YFGA233E3AM","YFGA233E3AM","GNSS L1 & L5 screw mount ceramic patch + cable passive embedded antenna",""
"Embedded antennas","74","YFGA235E3CM","YFGA235E3CM","GNSS L1 & L5 screw mount ceramic patch + cable active embedded antenna",""
"Embedded antennas","75","YFGA245E3AM","YFGA245E3AM","GNSS L1 & L5 screw mount ceramic patch + cable active embedded antenna",""
"Embedded antennas","76","YFGA245E3BM","YFGA245E3BM","GNSS L1 & L2 screw mount ceramic patch + cable active embedded antenna",""
"Embedded antennas","77","YFGA245E3CM","YFGA245E3CM","GNSS L1 & L2 & L5 screw mount ceramic patch + cable active embedded antenna",""
"Embedded antennas","78","YFGC000WWAM","YFGC000WWAM","GNSS adhesive & soldering mount ceramic patch passive embedded antenna",""
"Embedded antennas","79","YFGC007E3A","YFGC007E3A","GNSS L1 & L5 buckle mount ceramic patch + cable active embedded antenna",""
"Embedded antennas","80","YFGC009WWA","YFGC009WWA","GNSS SMT mount ceramic patch passive embedded antenna",""
"Embedded antennas","81","YFGC009WWB","YFGC009WWB","GNSS SMT mount ceramic patch passive embedded antenna",""
"Embedded antennas","82","YFGC009WWC","YFGC009WWC","GNSS SMT mount ceramic patch passive embedded antenna",""
"Embedded antennas","83","YFGC010WWA","YFGC010WWA","GNSS adhesive & soldering mount ceramic patch passive embedded antenna",""
"Embedded antennas","84","YFGC012WWA","YFGC012WWA","GNSS adhesive & soldering mount ceramic patch passive embedded antenna",""
"Embedded antennas","85","YFGC012WWB","YFGC012WWB","GNSS adhesive & soldering mount ceramic patch passive embedded antenna",""
